transaction	agent_name	agent_dbpedia_id	agent_freebase_id	agent_crunchbase_id	recipient_name	recipient_dbpedia_id	recipient_freebase_id	recipient_crunchbase_id	fin_value	currency	date	sentence	sentence_id
acquisition	3Com	3Com	/m/08rxp	organization/3com	Chipcom	Chipcom	/m/025vl92	organization/chipcom	700000000	USD	28/07/1995	Com to Buy Chipcom 3Com agreed to buy Chipcom for roughly $700 million in stock, creating the nation's second-largest maker of computer network equipment.	1995-7-28_0778295-m32-r1-e1-s1_-p6_buy.01-2
acquisition	3Com	3Com	/m/08rxp	organization/3com	U.S. Robotics	USRobotics	/m/01c18s	organization/u-s-robotics-corporation	7300000000	USD	1997	Its success was enough to attract the 3Com Corporation, which bought U.S. Robotics in 1997 in a $7.3 billion stock swap.	2001-5-16_1293751-m2-r1-e1-s1_-p2_buy.01-2
acquisition	Adobe	Adobe_Systems	/m/0vlf	organization/adobe-systems	Aldus Corp	Aldus	/m/012hrx	organization/aldus-corp	150000000	USD	1994	It has to do with a generational shift,'' said Paul Brainerd, who founded Social Venture Partners after he collected $150 million from the sale of his software company, the Aldus Corporation, to the Adobe Corporation in 1994.	1999-1-31_1081523-m18-r1-e1-s1_-p6_collect.01-5
acquisition	Adobe	Adobe_Systems	/m/0vlf	organization/adobe-systems	Frame Technology	Frame_technology_(software_engineering)	/m/04my8p7	organization/frame-technology	500000000	USD	22/03/1996	Earlier, the average estimate had been as high as 60 cents, but expectations fell over the last several weeks as analysts worried about complications from Adobe's $500 million acquisition of the Frame Technology Corporation, a maker of desktop publishing software.	1996-3-22_0838319-m2-r1-e1-s1_-p3_acquisition.01-4
acquisition	Adobe	Adobe_Systems	/m/0vlf	organization/adobe-systems	Macromedia	Macromedia	/m/0180df	organization/macromedia	3400000000	USD	18/04/2005	Adobe Systems, a leading seller of software for editing and managing documents, announced on Monday that it had acquired Macromedia for $3.4 billion in stock.	2005-4-19_1666029-m8-r1-e1-s1_-p2_acquire.01-7
acquisition	Amazon	Amazon.com	/m/0mgkg	organization/amazon	Alexa	Alexa_Internet	/m/02g43w_	organization/alexa	300000000	USD	03/05/1999	His three-year-old company, Alexa Internet, was acquired by the on-line retailer Amazon.com for nearly $300 million.	1999-5-3_1104933-m1-r1-e1-s1_-p2_acquire.01-0
acquisition	Amazon	Amazon.com	/m/0mgkg	organization/amazon	IMDB		/m/0873c4	organization/imdb	55000000	USD	28/05/2006		
acquisition	Amazon	Amazon.com	/m/0mgkg	organization/amazon	Joyo.com	Amazon_China	/m/04xgnz	organization/joyo-com	75000000	USD	09/08/2005	In the last few years, most of the large American Internet companies have come here to cut deals: Amazon.com acquired China's largest online bookseller, Joyo.com, for $75 million: eBay bought the Chinese auction site Eachnet for $180 million: and Yahoo purchased the Chinese search engine 3721.	2005-8-9_1693487-m32-r1-e1-s1_-p4_acquire.01-2
acquisition	Amazon	Amazon.com	/m/0mgkg	organization/amazon	PlanetAll (Planet All)	PlanetAll	/m/03c1j30	organization/planetall-com	93000000	USD	01/08/1998	Virtual Emporium soon folded, while Amazon.com bought Planet All in August 1998 for $93 million in Amazon stock.	1999-9-12_1137225-m17-r1-e1-s1_-p2_buy.01-1
acquisition	Apple	Apple_Inc.	/m/0k8z	organization/apple	NeXT	NeXT	/m/05fxn	organization/next	400000000	USD	01/12/1996	Steven P. Jobs has registered to sell all but one of the 1.5 million shares of Apple Computer that he acquired when he agreed in December to sell Next Software to Apple for $400 million.	1997-6-19_0938085-m1-r1-e1-s1_-p1_acquire.01-3
acquisition	Apple	Apple_Inc.	/m/0k8z	organization/apple	Power Computing Corporation (Power Computing of Austin)	Power_Computing_Corporation	/m/01rtbw	organization/power-computing	100000000	USD	07/09/1997		
acquisition	Ask.com	Ask.com	/m/027j1v	organization/ask-com	Teoma Technologies		/m/02g692		4000000	USD	2001		
acquisition	Cisco	Cisco_Systems	/m/0dmtp	organization/cisco	Airespace	Cisco_Systems	/m/08trzc	organization/airespace	450000000	USD	01/01/2005		
acquisition	Cisco	Cisco_Systems	/m/0dmtp	organization/cisco	Aironet Wireless Communications	Aironet_Wireless_Communications	/m/026wp6s	organization/aironet-wireless-communications	799000000	USD	10/11/1999		
acquisition	Cisco	Cisco_Systems	/m/0dmtp	organization/cisco	Andiamo Systems	-	/m/0413b_t	organization/andiamo-systems	74000000	USD	04/02/2004		
acquisition	Cisco	Cisco_Systems	/m/0dmtp	organization/cisco	ArrowPoint Communications	-	/m/0413bsl	organization/arrowpoint-communications	5700000000	USD	06/05/2000	When Cisco Systems agreed earlier this month to acquire Arrowpoint Communications, a maker of switches for Internet communications, for about $6 billion, some analysts interpreted the deal as a blow to Arrowpoint's main competitor, Alteon Websystems.	2000-5-22_1201548-m11-r1-e1-s1_-p7_acquire.01-1
acquisition	Cisco	Cisco_Systems	/m/0dmtp	organization/cisco	CALISTA	Calista_Corporation	/m/0bbwvlw	organization/calista	135000000	USD	02/09/2000		
