transaction	agent_name	agent_dbpedia_id	agent_freebase_id	agent_crunchbase_id	recipient_name	recipient_dbpedia_id	recipient_freebase_id	recipient_crunchbase_id	fin_value	currency	date	sentence	sentence_id	score
acquisition	Hewlett-Packard	Hewlett-Packard	/m/03mnk	organization/hewlett-packard	Boeing	The_Boeing_Company Boeing_Company Boeing	/m/0178g /m/0cqh5gb	organization/boeing organization/the-boeing-company	40000000.0	USD	1991	* Hewlett-Packard Co., Palo Alto, Calif., received a $40 million order to provide a network of more than 3,500 work stations to GTE Telephone Operations, a unit of GTE Corp.  * Kaman Aerospace Corp., a subsidiary of Kaman Corp., Bloomfield, Conn., received a multiyear contract from Boeing Commercial Airplane Group, Seattle, for the manufacture of wing structure components for Boeing's new 777 jet aircraft.	1991-5-21_0447047-offset_380-r1-e1-s1-t1-p2_receive.01-0	None
acquisition	EBay	EBay	/m/0z90c	organization/ebay	Technology	Massachusetts_Institute_of_Technology	/m/04rwx /m/0dpsy9c	organization/massachusetts-institute-of-technology	9500000	USD	2002	EBay agreed to buy NeoCom Technology, which runs the popular Taiwan Web sites ubid.com.tw and bid.com.tw, for $9.5 million in cash and an additional sum to be determined when the deal closes.	2002-2-27_1371237-offset_187-r1-e1-s1-t1-p6_buy.01-1	None
acquisition	parent company	Walt_Disney_Motion_Pictures_Group Walt_Disney_Company Walt_Disney_Studios_Motion_Pictures Walt_Disney_Pictures The_Walt_Disney_Company Buena_Vista_International Buena_Vista_Distribution	/m/01795t /m/013r16 /m/04r7gt /m/054g1r /m/09b3v	organization/the-walt-disney-corporation organization/the-walt-disney-studios organization/the-walt-disney-company organization/walt-disney organization/walt-disney-company	Group	Tata_Motors Tata_Communications Tata_Group	/m/014lk3 /m/03jxtm /m/04338k	organization/group-software organization/tata-communications organization/tata-motors	957000000.0	USD	1999	The Energy East Corporation, the parent company of the New York State Electric and Gas Corporation, will acquire the CMP Group, the parent company of Central Maine Power, in a transaction valued at $957  million, the companies said yesterday.	1999-6-15_1115499-offset_0-r1-e1-s1-t1-p4_acquire.01-0	None
acquisition	Systems	Adobe_Systems	/m/0vlf	organization/adobe-systems	Health		/m/0278_z6 /m/0646fsb /m/064640t	organization/health-solutions organization/health-media	3.3	USD	1991	Holders of National Health Care Systems common stock will receive $3.30 worth of Foundation Health common for each share of National Health Care.	1991-12-31_0497345-offset_282-r1-e1-s1-t1-p4_receive.01-2	None
acquisition	CBS	CBS_Interactive CBS Columbia_Broadcasting_System CNET	/m/0dql58k /m/0nbgd6y /m/0f25q1 /m/02259q /m/09d5h	organization/cnetnetworks organization/cbs-interactive organization/cbs organization/cnet organization/cbs-mobile	National	National_Car_Rental	/m/07vlg_ /m/0nklh5_	organization/national-productions	1050000000.0	USD	1992	CBS bought National Conference Sunday games and Super Bowl XXVI in 1992 in Minneapolis for $1.05 billion.	1990-3-12_0334110-offset_967-r1-e1-s1-t1-p1_buy.01-0	None
acquisition	eBay	EBay	/m/0z90c	organization/ebay	Shopping.com	Shopping.com	/m/08h7vp	organization/shopping-com	620000000.0	USD	2005	which it sold for $10.3 million when eBay acquired Shopping.com in 2005 for $620 million.	2006-2-8_1738108-offset_4349-r1-e1-s1-t1-p1_acquire.01-1	None
acquisition	Yahoo	Yahoo Yahoo!	/m/019rl6	organization/yahoo organization/yahoo-media	Overture	Yahoo!_Search_Marketing Overture_Services Overture_Networks	/m/03dzvrt /m/03_dp9 /m/03cy6kc	organization/overture-networks organization/the-overture-group organization/overture organization/overture-services	1600000000.0	USD	2006	Idealab began selling some of its stock, and by 2004, when Yahoo bought Overture for $1.6 billion, it had generated some $300 million for Idealab.	2006-10-28_1800368-offset_8045-r1-e1-s1-t1-p2_buy.01-3	None
acquisition	Apple	Apple_Inc.	/m/0k8z	organization/apple	Palm	Palm_Breweries Palm,_Inc.	/m/0jcrh /m/0652c3 /m/0m7lh	organization/hp-palm organization/palm	325000000.0	USD	2007	On Sunday, Elevation Partners, the $1.9 billion private equity group that was founded by Roger McNamee, a veteran technology investor; Fred Anderson, Apple's former chief financial officer; the rock star Bono and several others, agreed to buy 25 percent of Palm for $325 million.	2007-6-5_1852365-offset_223-r1-e1-s1-t1-p6_buy.01-7	None
acquisition	Apple	Apple_Inc.	/m/0k8z	organization/apple	Next	Next_Media Next_plc NeXT	/m/01nqcl /m/0c2psw /m/0g5s427 /m/05fxn /m/035qrr /m/0xmjfvg	organization/next-group organization/next organization/next-computer organization/next-ventures organization/next-media	400000000.0	USD	1997	The company said its co-founder, Steven P. Jobs -- who had been ousted in a 1985 boardroom coup but returned as an adviser in December when Apple bought his Next Software Inc. for more than $400 million -- would play a larger role in coming months but was not expected to take over as chief executive.	1997-7-13_0943485-offset_5873-r1-e1-s1-t1-p3_buy.01-4	None
acquisition	Cisco Systems	Cisco_Systems	/m/0dmtp	organization/cisco-systems organization/cisco	Mass		/m/05234vy		5700000000.0	USD	2000	The value of such a product is reflected in the move by Cisco Systems Inc., the No. 1 maker of Internet equipment, to acquire Alteon's main competitor, ArrowPoint Communications, based in Acton, Mass., for $5.7 billion in May.	2000-7-29_1218412-offset_867-r1-e1-s1-t1-p8_acquire.01-5	None
