transaction	agent_name	agent_dbpedia_id	agent_freebase_id	agent_crunchbase_id	recipient_name	recipient_dbpedia_id	recipient_freebase_id	recipient_crunchbase_id	fin_value	currency	date	sentence	sentence_id	score
acquisition	eBay	EBay	/m/0z90c	organization/ebay	Shopping.com	Shopping.com	/m/08h7vp	organization/shopping-com	620000000.0	USD	2005	which it sold for $10.3 million when eBay acquired Shopping.com in 2005 for $620 million.	2006-2-8_1738108-offset_4349-r1-e1-s1-t1-p1_acquire.01-1	None
acquisition	Yahoo	Yahoo Yahoo!	/m/019rl6	organization/yahoo organization/yahoo-media	Overture	Yahoo!_Search_Marketing Overture_Services Overture_Networks	/m/03dzvrt /m/03_dp9 /m/03cy6kc	organization/overture-networks organization/the-overture-group organization/overture organization/overture-services	1600000000.0	USD	2003	Yahoo then bought Overture in 2003 for $1.6 billion, while Google built its own technology.	2006-2-27_1742908-offset_1224-r1-e1-s1-t1-p1_buy.01-0	None
acquisition	Apple	Apple_Inc.	/m/0k8z	organization/apple	Palm	Palm_Breweries Palm,_Inc.	/m/0jcrh /m/0652c3 /m/0m7lh	organization/hp-palm organization/palm	325000000.0	USD	2007	On Sunday, Elevation Partners, the $1.9 billion private equity group that was founded by Roger McNamee, a veteran technology investor; Fred Anderson, Apple's former chief financial officer; the rock star Bono and several others, agreed to buy 25 percent of Palm for $325 million.	2007-6-5_1852365-offset_223-r1-e1-s1-t1-p6_buy.01-7	None
acquisition	Apple	Apple_Inc.	/m/0k8z	organization/apple	Next	Next_Media Next_plc NeXT	/m/01nqcl /m/0c2psw /m/0g5s427 /m/05fxn /m/035qrr /m/0xmjfvg	organization/next-group organization/next organization/next-computer organization/next-ventures organization/next-media	400000000.0	USD	1997	The powers and responsibilities of Mr. Amelio's chosen executives have weakened since Apple's $400 million acquisition of Next Software Inc. returned Steven P. Jobs to the company he helped found, analysts noted.	1997-5-21_0931463-offset_711-r1-e1-s1-t1-p1_acquisition.01-5	None
acquisition	Intel	Intel_Corporation Intel	/m/03s7h	organization/intel	ATI Technologies	ATI_Technologies	/m/01824j	organization/ati-technologies organization/ati	5600000000.0	USD	2006	Last month, ATI Technologies of Markham, Ontario, one of the two major suppliers of computer graphics chips, was purchased for $5.6 billion by Advanced Micro Devices, Intel's leading rival, which is based in Sunnyvale, Calif.	2006-8-17_1783420-offset_1900-r1-e1-s1-t1-p5_purchase.01-2	None
acquisition	eBay	EBay	/m/0z90c	organization/ebay	Eachnet			organization/eachnet	180000000.0	USD	2007	The next year, eBay acquired the rest of Eachnet, bringing the total price to $180 million.	2006-12-19_1813058-offset_1944-r1-e1-s1-t1-p2_acquire.01-0	None
acquisition	Systems	Adobe_Systems	/m/0vlf	organization/adobe-systems	Internet		/m/0h54_zv	organization/internet-consulting organization/internet-solutions organization/internet-com	34000000.0	USD	1994	For example, Panix, a small  New York-based Internet provider was acquired last summer for $34 million by Performance Systems International, based in Reston, Va., with a national system  of dial-in sites and tens of thousands of customers.	1995-11-13_0808863-offset_5649-r1-e1-s1-t1-p4_acquire.01-1	None
acquisition	Walt Disney	Walt_Disney_Motion_Pictures_Group Walt_Disney_Company Walt_Disney_Studios_Motion_Pictures Walt_Disney_Pictures The_Walt_Disney_Company Buena_Vista_International Buena_Vista_Distribution	/m/01795t /m/013r16 /m/04r7gt /m/054g1r /m/09b3v	organization/walt-disney-company organization/the-walt-disney-studios organization/walt-disney organization/the-walt-disney-corporation organization/the-walt-disney-company	Capital Cities/ABC	Capital_Cities Capital_Cities_Communications	/m/076crp		19000000000.0	USD	1995	They said it was merely coincidental that the President's veto threat accompanied news of Walt Disney's $19 billion acquisition of Capital Cities/ABC, which was announced on Monday, or yesterday's $5.4 billion bid for CBS by Westinghouse.	1995-8-2_0779664-offset_1466-r1-e1-s1-t1-p2_acquisition.01-4	None
acquisition	Cisco	Cisco_Systems	/m/0dmtp	organization/cisco-systems organization/cisco	Stratacom	StrataCom	/m/04k967	organization/stratacom	4000000000.0	USD	1996	Cisco's carrier-sales group essentially did not exist until Cisco acquired Mr. Kriens' previous company, Stratacom, for about $4 billion in 1996.	2000-5-8_1197877-offset_3932-r1-e1-s1-t1-p2_acquire.01-2	None
acquisition	I.B.M.	International_Business_Machines IBM	/m/03sc8	organization/i-b-m organization/international-business-machines organization/ibm	Group	Tata_Motors Tata_Communications Tata_Group	/m/014lk3 /m/03jxtm /m/04338k	organization/group-software organization/tata-communications organization/tata-motors	250000000.0	USD	1988	At the same time, it set up a Rolm distribution company together with I.B.M. Siemens also bought the Bendix Electronics Group from the Allied Signal Corporation for about $250 million in 1988.	1990-2-6_0323795-offset_3499-r1-e1-s1-t1-p1_buy.01-2	None
acquisition	I.B.M.	International_Business_Machines IBM	/m/03sc8	organization/i-b-m organization/international-business-machines organization/ibm	Tivoli Systems		/m/0ds17jt /m/09rpsc	organization/tivoli organization/tivoli-systems	783000000.0	USD	1996	A.M. Sacconaghi, an analyst at Sanford C. Bernstein & Company, said that I.B.M.'s purchase of Tivoli Systems in 1996 for $783 million ''was a very good acquisition.''	2005-2-10_1648820-offset_3801-r1-e1-s1-t1-p1_purchase.01-2	None
acquisition	CBS	CBS_Interactive CBS Columbia_Broadcasting_System CNET	/m/0dql58k /m/0nbgd6y /m/0f25q1 /m/02259q /m/09d5h	organization/cnetnetworks organization/cbs-interactive organization/cbs organization/cnet organization/cbs-mobile	Infinity		/m/0qc8pkn /m/04kx35v /m/09lhqs	organization/infinity	4900000000.0	USD	1999	Instead, CBS acquired Infinity for $4.9 billion that June, and Mr. Karmazin came aboard to run the combined radio operations of Infinity, Westinghouse and CBS, along with its outdoor advertising business.	1999-11-14_1153347-offset_6194-r1-e1-s1-t1-p3_acquire.01-0	None
